*Date of Rally*,*City*,*State*,*Venue*,*Estimated Visitors*,*Source*,County Name
"Thursday, April 28, 2016",Evansville,IN,Old National Events Plaza,"12,000",[187],Vanderburgh
"Sunday, May 1, 2016",Fort Wayne,IN,Allen County War Memorial Coliseum,"8,000",[188],Allen
"Sunday, May 1, 2016",Terre Haute,IN,Indiana Theatre,"2,100",[189],Vigo 
"Monday, May 2, 2016",Carmel,IN,The Palladium at the Center for the Performing Arts,"1,800",[190],Hamilton
"Monday, May 2, 2016",South Bend,IN,Century Center,"8,000",[191],St. Joseph
"Thursday, May 5, 2016",Charleston,WV,Charleston Civic Center,,[192][193],Kanawha 
"Friday, May 6, 2016",Eugene,OR,Lane Events Center,"5,000",[194],Lane
"Friday, May 6, 2016",Omaha,NE,"Werner Enterprises Hangar, Eppley Airfield","3,500",[195],Douglas
"Saturday, May 7, 2016",Lynden,WA,Northwest Washington Fair and Event Center,"7,500",[196],Whatcom
"Saturday, May 7, 2016",Spokane,WA,Spokane Convention Center,"10,000",[197],Spokane
"Tuesday, May 24, 2016",Albuquerque,NM,Albuquerque Convention Center,"8,000",[198],Bernalillo
"Wednesday, May 25, 2016",Anaheim,CA,Anaheim Convention Center,"3,000",[199],Orange County
"Thursday, May 26, 2016",Billings,MT,Rimrock Auto Arena at MetraPark,"7,000",[200],Yellowstone
"Friday, May 27, 2016",Fresno,CA,Selland Arena,"7,000",[201],Fresno
"Friday, May 27, 2016",San Diego,CA,San Diego Convention Center,,[202][203],San Diego
"Wednesday, June 1, 2016",Sacramento,CA,"Sacramento Jet Center, Sacramento International Airport","5,000",[204],Sacramento
"Thursday, June 2, 2016",San Jose,CA,"South Hall, San Jose Convention Center",,[205][206],Santa Clara
"Friday, June 3, 2016",Redding,CA,Redding Municipal Airport,"4,000",[207],Shasta
